,Symbol,Company name,Security type,ISIN code,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,hashtags,cashtags
632,EMB,EMBELTON LIMITED,ORDINARY FULLY PAID,AU000000EMB8,,,,,,,,,,#EMB,$EMB
633,EHL,EMECO HOLDINGS,ORDINARY FULLY PAID,AU000000EHL7,,,,,,,,,,#EHL,$EHL
634,EMR,EMERALD RES NL,ORDINARY FULLY PAID,AU000000EMR4,,,,,,,,,,#EMR,$EMR
635,EM1,EMERGE GAMING LTD,ORDINARY FULLY PAID,AU0000007866,,,,,,,,,,#EM1,$EM1
636,EMT,EMETALS LIMITED,ORDINARY FULLY PAID,AU0000076200,,,,,,,,,,#EMT,$EMT
637,EML,EML PAYMENTS LTD,ORDINARY FULLY PAID,AU000000EML7,,,,,,,,,,#EML,$EML
638,ERM,EMMERSON RESOURCES,ORDINARY FULLY PAID,AU000000ERM4,,,,,,,,,,#ERM,$ERM
639,EMP,EMPEROR ENERGY LTD,ORDINARY FULLY PAID,AU000000EMP8,,,,,,,,,,#EMP,$EMP
640,EEG,EMPIRE ENERGY LTD,ORDINARY FULLY PAID,AU000000EEG4,,,,,,,,,,#EEG,$EEG
641,ERL,EMPIRE RESOURCES,ORDINARY FULLY PAID,AU000000ERL6,,,,,,,,,,#ERL,$ERL
642,EMU,EMU NL,ORDINARY FULLY PAID,AU000000EMU8,,,,,,,,,,#EMU,$EMU
643,EMV,EMVISION MEDICAL,ORDINARY FULLY PAID,AU0000028375,,,,,,,,,,#EMV,$EMV
644,EMD,EMYRIA LIMITED,ORDINARY FULLY PAID,AU0000073645,,,,,,,,,,#EMD,$EMD
645,ENR,ENCOUNTER RESOURCES,ORDINARY FULLY PAID,AU000000ENR2,,,,,,,,,,#ENR,$ENR
646,EDV,ENDEAVOUR,ORDINARY FULLY PAID,AU0000154833,,,,,,,,,,#EDV,$EDV
647,ERG,ENECO REFRESH LTD,ORDINARY FULLY PAID,AU0000041881,,,,,,,,,,#ERG,$ERG
648,ENX,ENEGEX LIMITED,ORDINARY FULLY PAID,AU000000ENX0,,,,,,,,,,#ENX,$ENX
649,EAX,ENERGY ACTION LTD,ORDINARY FULLY PAID,AU000000EAX7,,,,,,,,,,#EAX,$EAX
650,EME,ENERGY METALS LTD,ORDINARY FULLY PAID,AU000000EME2,,,,,,,,,,#EME,$EME
651,EOL,ENERGY ONE LIMITED,ORDINARY FULLY PAID,AU000000EOL3,,,,,,,,,,#EOL,$EOL
652,EGY,ENERGY TECH LTD,ORDINARY FULLY PAID,AU000000EGY2,,,,,,,,,,#EGY,$EGY
653,EWC,ENERGY WORLD CORPOR.,ORDINARY FULLY PAID,AU000000EWC5,,,,,,,,,,#EWC,$EWC
654,EGG,ENERO GROUP LTD,ORDINARY FULLY PAID,AU000000EGG9,,,,,,,,,,#EGG,$EGG
655,EGN,ENGENCO LIMITED,ORDINARY FULLY PAID,AU000000EGN5,,,,,,,,,,#EGN,$EGN
656,EXO,ENNOX GROUP LTD,ORDINARY FULLY PAID,AU000000EXO8,,,,,,,,,,#EXO,$EXO
657,ENV,ENOVA MINING LIMITED,ORDINARY FULLY PAID,AU0000089351,,,,,,,,,,#ENV,$ENV
658,ENA,ENSURANCE LTD,ORDINARY FULLY PAID,AU000000ENA8,,,,,,,,,,#ENA,$ENA
659,ENT,ENTERPRISE METALS,ORDINARY FULLY PAID,AU000000ENT8,,,,,,,,,,#ENT,$ENT
660,ECT,ENV CLEAN TECH LTD.,ORDINARY FULLY PAID,AU0000018137,,,,,,,,,,#ECT,$ECT
661,EGL,ENVIRONMENTAL GROUP,ORDINARY FULLY PAID,AU000000EGL9,,,,,,,,,,#EGL,$EGL
662,EVS,ENVIROSUITE LTD,ORDINARY FULLY PAID,AU000000EVS3,,,,,,,,,,#EVS,$EVS
663,E2E,EON NRG LTD,ORDINARY FULLY PAID,AU0000001158,,,,,,,,,,#E2E,$E2E
664,EPN,EPSILON HEALTHCARE,ORDINARY FULLY PAID,AU0000137598,,,,,,,,,,#EPN,$EPN
665,EPX,EPT GLOBAL LIMITED,ORDINARY FULLY PAID,AU0000141525,,,,,,,,,,#EPX,$EPX
666,EQR,EQ RESOURCES LIMITED,ORDINARY FULLY PAID,AU0000122749,,,,,,,,,,#EQR,$EQR
667,EQX,EQUATORIAL RES LTD,ORDINARY FULLY PAID,AU000000EQX3,,,,,,,,,,#EQX,$EQX
668,EQN,EQUINOXRESOURCES,ORDINARY FULLY PAID,AU0000173965,,,,,,,,,,#EQN,$EQN
669,EQT,EQUITY HL,ORDINARY FULLY PAID,AU000000EQT1,,,,,,,,,,#EQT,$EQT
670,EQS,EQUITYSTORYGROUPLTD,ORDINARY FULLY PAID,AU0000208654,,,,,,,,,,#EQS,$EQS
671,EQE,EQUUS MINING LTD,ORDINARY FULLY PAID,AU000000EQE3,,,,,,,,,,#EQE,$EQE
672,ERW,ERRAWARRA RESOURCES,ORDINARY FULLY PAID,AU0000119117,,,,,,,,,,#ERW,$ERW
673,ESS,ESSENTIAL METALS LTD,ORDINARY FULLY PAID,AU0000096943,,,,,,,,,,#ESS,$ESS
674,EHE,ESTIA HEALTH LTD,ORDINARY FULLY PAID,AU000000EHE2,,,,,,,,,,#EHE,$EHE
675,ESR,ESTRELLA RES LTD,ORDINARY FULLY PAID,AU000000ESR1,,,,,,,,,,#ESR,$ESR
676,GOLAI,ETFS METALS.,ORDINARY FULLY PAID,AU0000GOLAI9,,,,,,,,,,#GOLAI,$GOLAI
677,EBG,EUMUNDI GROUP LTD,ORDINARY FULLY PAID,AU000000EBG0,,,,,,,,,,#EBG,$EBG
678,EGH,EUREKA GROUP LTD,ORDINARY FULLY PAID,AU000000EGH7,,,,,,,,,,#EGH,$EGH
679,EUR,EUROPEAN LITHIUM LTD,ORDINARY FULLY PAID,AU000000EUR7,,,,,,,,,,#EUR,$EUR
680,EZL,EUROZ HARTLEYS GROUP,ORDINARY FULLY PAID,AU000000EZL9,,,,,,,,,,#EZL,$EZL
681,EVR,EV RESOURCES LTD,ORDINARY FULLY PAID,AU0000196206,,,,,,,,,,#EVR,$EVR
682,EVE,EVE HEALTH GROUP LTD,ORDINARY FULLY PAID,AU000000EVE3,,,,,,,,,,#EVE,$EVE
683,EVT,EVENT HOSPITALITY,ORDINARY FULLY PAID,AU000000EVT1,,,,,,,,,,#EVT,$EVT
684,EVN,EVOLUTION MINING LTD,ORDINARY FULLY PAID,AU000000EVN4,,,,,,,,,,#EVN,$EVN
685,EV1,EVOLUTIONENERGY,ORDINARY FULLY PAID,AU0000180200,,,,,,,,,,#EV1,$EV1
686,EVZ,EVZ LIMITED,ORDINARY FULLY PAID,AU000000EVZ8,,,,,,,,,,#EVZ,$EVZ
687,ECL,EXCELSIOR CAPITAL,ORDINARY FULLY PAID,AU0000037889,,,,,,,,,,#ECL,$ECL
688,EX1,EXOPHARM LIMITED,ORDINARY FULLY PAID,AU0000030975,,,,,,,,,,#EX1,$EX1
689,EXP,EXPERIENCE CO LTD,ORDINARY FULLY PAID,AU000000EXP5,,,,,,,,,,#EXP,$EXP
690,EZZ,EZZ LIFE SCIENCE,ORDINARY FULLY PAID,AU0000130569,,,,,,,,,,#EZZ,$EZZ
691,FFI,F.F.I. HOLDINGS,ORDINARY FULLY PAID,AU000000FFI4,,,,,,,,,,#FFI,$FFI
692,FAL,FALCONMETALSLTD,ORDINARY FULLY PAID,AU0000187569,,,,,,,,,,#FAL,$FAL
693,FZO,FAMILY ZONE CYBER,ORDINARY FULLY PAID,AU000000FZO0,,,,,,,,,,#FZO,$FZO
694,FEG,FAR EAST GOLD,ORDINARY FULLY PAID,AU0000191793,,,,,,,,,,#FEG,$FEG
695,FAR,FAR LTD,ORDINARY FULLY PAID,AU000000FAR6,,,,,,,,,,#FAR,$FAR
696,FRM,FARM PRIDE FOODS,ORDINARY FULLY PAID,AU000000FRM1,,,,,,,,,,#FRM,$FRM
697,FFC,FARMAFORCE LTD,ORDINARY FULLY PAID,AU000000FFC7,,,,,,,,,,#FFC,$FFC
698,FE8,FASTER ENTERPRISES,ORDINARY FULLY PAID,AU000000FE82,,,,,,,,,,#FE8,$FE8
699,FPC,FAT PROPHETS GBL LTD,ORDINARY FULLY PAID,AU000000FPC6,,,,,,,,,,#FPC,$FPC
700,FFG,FATFISH GROUP,ORDINARY FULLY PAID,AU000000FFG8,,,,,,,,,,#FFG,$FFG
701,FBR,FBR LTD,ORDINARY FULLY PAID,AU000000FBR4,,,,,,,,,,#FBR,$FBR
702,FXG,FELIX GOLD LIMITED,ORDINARY FULLY PAID,AU0000194433,,,,,,,,,,#FXG,$FXG
703,FLX,FELIX GROUP,ORDINARY FULLY PAID,AU0000123879,,,,,,,,,,#FLX,$FLX
704,FEX,FENIX RESOURCES LTD,ORDINARY FULLY PAID,AU0000025132,,,,,,,,,,#FEX,$FEX
705,FTZ,FERTOZ LTD,ORDINARY FULLY PAID,AU000000FTZ9,,,,,,,,,,#FTZ,$FTZ
706,FID,FIDUCIAN GROUP LTD,ORDINARY FULLY PAID,AU000000FID9,,,,,,,,,,#FID,$FID
707,FSG,FIELD SOLU HLDGS LTD,ORDINARY FULLY PAID,AU000000FSG1,,,,,,,,,,#FSG,$FSG
708,FIJ,FIJI KAVA LIMITED,ORDINARY FULLY PAID,AU0000028359,,,,,,,,,,#FIJ,$FIJ
709,FIN,FIN RESOURCES LTD,ORDINARY FULLY PAID,AU0000009425,,,,,,,,,,#FIN,$FIN
710,FRI,FINBAR GROUP LIMITED,ORDINARY FULLY PAID,AU000000FRI9,,,,,,,,,,#FRI,$FRI
711,FDR,FINDER,ORDINARY FULLY PAID,AU0000212078,,,,,,,,,,#FDR,$FDR
712,FNX,FINEXIA FINANCIALGRP,ORDINARY FULLY PAID,AU0000107088,,,,,,,,,,#FNX,$FNX
713,FTCAA,FINTECH CHAIN LTD,ORDINARY FULLY PAID,AU0000008807,,,,,,,,,,#FTCAA,$FTCAA
714,FRB,FIREBIRD METALS,ORDINARY FULLY PAID,AU0000134694,,,,,,,,,,#FRB,$FRB
715,FRE,FIREBRICKPHARMA,ORDINARY FULLY PAID,AU0000197352,,,,,,,,,,#FRE,$FRE
716,FFX,FIREFINCH LTD,ORDINARY FULLY PAID,AU0000114522,,,,,,,,,,#FFX,$FFX
717,FTL,FIRETAIL RESOURCES,ORDINARY FULLY PAID,AU0000212292,,,,,,,,,,#FTL,$FTL
718,FAU,FIRST AU LTD,ORDINARY FULLY PAID,AU0000015414,,,,,,,,,,#FAU,$FAU
719,FGR,FIRST GRAPHENE LTD,ORDINARY FULLY PAID,AU000000FGR3,,,,,,,,,,#FGR,$FGR
720,FCT,FIRSTWAVE CLOUD TECH,ORDINARY FULLY PAID,AU000000FCT8,,,,,,,,,,#FCT,$FCT
721,FZR,FITZROY RIVER CORP,ORDINARY FULLY PAID,AU000000FZR3,,,,,,,,,,#FZR,$FZR
722,FSI,FLAGSHIP INVESTMENTS,ORDINARY FULLY PAID,AU000000FSI7,,,,,,,,,,#FSI,$FSI
723,FWD,FLEETWOOD LTD,ORDINARY FULLY PAID,AU000000FWD0,,,,,,,,,,#FWD,$FWD
724,FRX,FLEXIROAM LIMITED,ORDINARY FULLY PAID,AU000000FRX8,,,,,,,,,,#FRX,$FRX
725,FLT,FLIGHT CENTRE TRAVEL,ORDINARY FULLY PAID,AU000000FLT9,,,,,,,,,,#FLT,$FLT
726,FMS,FLINDERS MINES LTD,ORDINARY FULLY PAID,AU000000FMS9,,,,,,,,,,#FMS,$FMS
727,FLC,FLUENCE CORPORATION,ORDINARY FULLY PAID,AU000000FLC5,,,,,,,,,,#FLC,$FLC
728,FG1,FLYNNGOLD,ORDINARY FULLY PAID,AU0000143695,,,,,,,,,,#FG1,$FG1
729,FML,FOCUS MINERALS LTD,ORDINARY FULLY PAID,AU000000FML4,,,,,,,,,,#FML,$FML
730,FFF,FORBIDDEN FOODS,ORDINARY FULLY PAID,AU0000097339,,,,,,,,,,#FFF,$FFF
731,FRS,FORRESTANIARESOURCES,ORDINARY FULLY PAID,AU0000171621,,,,,,,,,,#FRS,$FRS
732,FMG,FORTESCUE METALS GRP,ORDINARY FULLY PAID,AU000000FMG4,,,,,,,,,,#FMG,$FMG
733,FOS,FOS CAPITAL LTD,ORDINARY FULLY PAID,AU0000149312,,,,,,,,,,#FOS,$FOS
734,FHS,FREEHILL MINING LTD.,ORDINARY FULLY PAID,AU000000FHS9,,,,,,,,,,#FHS,$FHS
735,FLN,FREELANCER LTD,ORDINARY FULLY PAID,AU000000FLN2,,,,,,,,,,#FLN,$FLN
736,FLNAI,FREELANCER LTD,ORDINARY FULLY PAID,AU0000FLNAI3,,,,,,,,,,#FLNAI,$FLNAI
737,FDV,FRONTIER DIGITAL LTD,ORDINARY FULLY PAID,AU000000FDV2,,,,,,,,,,#FDV,$FDV
738,FHE,FRONTIER ENERGY LTD,ORDINARY FULLY PAID,AU0000207912,,,,,,,,,,#FHE,$FHE
739,FGL,FRUGL GROUP LIMITED,ORDINARY FULLY PAID,AU0000094161,,,,,,,,,,#FGL,$FGL
740,FSA,FSA GROUP LIMITED,ORDINARY FULLY PAID,AU000000FSA4,,,,,,,,,,#FSA,$FSA
741,FFT,FUTURE FIRST TECH,ORDINARY FULLY PAID,AU0000113235,,,,,,,,,,#FFT,$FFT
742,FGX,FUTURE GEN LTD,ORDINARY FULLY PAID,AU000000FGX1,,,,,,,,,,#FGX,$FGX
743,FGG,FUTURE GLB INVEST CO,ORDINARY FULLY PAID,AU000000FGG6,,,,,,,,,,#FGG,$FGG
744,FME,FUTURE METALS NL,ORDINARY FULLY PAID,AU0000157745,,,,,,,,,,#FME,$FME
745,FYI,FYI RESOURCES LTD,ORDINARY FULLY PAID,AU000000FYI5,,,,,,,,,,#FYI,$FYI
746,GUD,G.U.D. HOLDINGS,ORDINARY FULLY PAID,AU000000GUD2,,,,,,,,,,#GUD,$GUD
747,GEM,G8 EDUCATION LIMITED,ORDINARY FULLY PAID,AU000000GEM7,,,,,,,,,,#GEM,$GEM
748,GLN,GALAN LITHIUM LTD,ORDINARY FULLY PAID,AU0000021461,,,,,,,,,,#GLN,$GLN
749,GAP,GALE PACIFIC LIMITED,ORDINARY FULLY PAID,AU000000GAP8,,,,,,,,,,#GAP,$GAP
750,G1A,GALENA MINING,ORDINARY FULLY PAID,AU000000G1A1,,,,,,,,,,#G1A,$G1A
751,GLL,GALILEE ENERGY LTD,ORDINARY FULLY PAID,AU000000GLL4,,,,,,,,,,#GLL,$GLL
752,GAL,GALILEO MINING LTD,ORDINARY FULLY PAID,AU0000007510,,,,,,,,,,#GAL,$GAL
753,GGX,GAS2GRID LIMITED,ORDINARY FULLY PAID,AU000000GGX9,,,,,,,,,,#GGX,$GGX
754,GGXAM,GAS2GRID LIMITED,ORDINARY FULLY PAID,AU0000GGXAM2,,,,,,,,,,#GGXAM,$GGXAM
755,GCY,GASCOYNE RES LTD,ORDINARY FULLY PAID,AU000000GCY6,,,,,,,,,,#GCY,$GCY
756,GML,GATEWAY MINING,ORDINARY FULLY PAID,AU000000GML2,,,,,,,,,,#GML,$GML
757,GBZ,GBM RSOURCES LTD,ORDINARY FULLY PAID,AU000000GBZ5,,,,,,,,,,#GBZ,$GBZ
758,GCX,GCX METALS LIMITED,ORDINARY FULLY PAID,AU0000220865,,,,,,,,,,#GCX,$GCX
759,GFN,GEFEN INT,ORDINARY FULLY PAID,IL0011756371,,,,,,,,,,#GFN,$GFN
760,GDG,GENERATION DEV GROUP,ORDINARY FULLY PAID,AU0000005126,,,,,,,,,,#GDG,$GDG
761,GMD,GENESIS MINERALS,ORDINARY FULLY PAID,AU000000GMD9,,,,,,,,,,#GMD,$GMD
762,GES,GENESIS RESOURCES,ORDINARY FULLY PAID,AU000000GES4,,,,,,,,,,#GES,$GES
763,GSS,GENETIC SIGNATURES,ORDINARY FULLY PAID,AU000000GSS4,,,,,,,,,,#GSS,$GSS
764,GTG,GENETIC TECHNOLOGIES,ORDINARY FULLY PAID,AU000000GTG7,,,,,,,,,,#GTG,$GTG
765,GNX,GENEX POWER LTD,ORDINARY FULLY PAID,AU000000GNX5,,,,,,,,,,#GNX,$GNX
766,GEN,GENMIN,ORDINARY FULLY PAID,AU0000136590,,,,,,,,,,#GEN,$GEN
767,GNP,GENUSPLUS GROUP LTD,ORDINARY FULLY PAID,AU0000117160,,,,,,,,,,#GNP,$GNP
768,GMA,GENWORTH MORTGAGE,ORDINARY FULLY PAID,AU000000GMA5,,,,,,,,,,#GMA,$GMA
769,GPR,GEOPACIFIC RESOURCES,ORDINARY FULLY PAID,AU000000GPR2,,,,,,,,,,#GPR,$GPR
770,GIB,GIBB RIVER DIAMONDS,ORDINARY FULLY PAID,AU0000031411,,,,,,,,,,#GIB,$GIB
771,GLA,GLADIATOR RESOURCES,ORDINARY FULLY PAID,AU000000GLA7,,,,,,,,,,#GLA,$GLA
772,GC1,GLENNON SML CO LTD,ORDINARY FULLY PAID,AU000000GC18,,,,,,,,,,#GC1,$GC1
773,GLE,GLG CORP LTD,ORDINARY FULLY PAID,AU000000GLE9,,,,,,,,,,#GLE,$GLE
774,GLH,GLOBAL HEALTH LTD,ORDINARY FULLY PAID,AU000000GLH2,,,,,,,,,,#GLH,$GLH
775,GFL,GLOBAL MASTERS FUND,ORDINARY FULLY PAID,AU000000GFL6,,,,,,,,,,#GFL,$GFL
776,GLV,GLOBAL OIL & GAS,ORDINARY FULLY PAID,AU0000034860,,,,,,,,,,#GLV,$GLV
777,GVF,GLOBAL VALUE FND LTD,ORDINARY FULLY PAID,AU000000GVF5,,,,,,,,,,#GVF,$GVF
778,GL1,GLOBALLITH,ORDINARY FULLY PAID,AU0000142929,,,,,,,,,,#GL1,$GL1
779,GLB,GLOBE INTERNATIONAL,ORDINARY FULLY PAID,AU000000GLB5,,,,,,,,,,#GLB,$GLB
780,GBE,GLOBE METALS &MINING,ORDINARY FULLY PAID,AU000000GBE0,,,,,,,,,,#GBE,$GBE
781,GME,GME RESOURCES LTD,ORDINARY FULLY PAID,AU000000GME7,,,,,,,,,,#GME,$GME
782,GRL,GODOLPHIN RESOURCES,ORDINARY FULLY PAID,AU0000065195,,,,,,,,,,#GRL,$GRL
783,GMN,GOLD MOUNTAIN LTD,ORDINARY FULLY PAID,AU000000GMN8,,,,,,,,,,#GMN,$GMN
784,GOR,GOLD ROAD RES LTD,ORDINARY FULLY PAID,AU000000GOR5,,,,,,,,,,#GOR,$GOR
785,G50,GOLD50LIMITED,ORDINARY FULLY PAID,AU0000155889,,,,,,,,,,#G50,$G50
786,GCR,GOLDEN CROSS,ORDINARY FULLY PAID,AU000000GCR0,,,,,,,,,,#GCR,$GCR
787,GED,GOLDEN DEEPS,ORDINARY FULLY PAID,AU000000GED6,,,,,,,,,,#GED,$GED
788,G88,GOLDEN MILE RES LTD,ORDINARY FULLY PAID,AU000000G887,,,,,,,,,,#G88,$G88
789,GMR,GOLDEN RIM RESOURCES,ORDINARY FULLY PAID,AU000000GMR9,,,,,,,,,,#GMR,$GMR
790,GSM,GOLDEN STATE MINING,ORDINARY FULLY PAID,AU0000023574,,,,,,,,,,#GSM,$GSM
791,G79,GOLDOZ LIMITED,ORDINARY FULLY PAID,AU0000174583,,,,,,,,,,#G79,$G79
792,GDA,GOOD DRINKS AUS LTD,ORDINARY FULLY PAID,AU0000120040,,,,,,,,,,#GDA,$GDA
793,GOW,GOWING BROS. LIMITED,ORDINARY FULLY PAID,AU000000GOW5,,,,,,,,,,#GOW,$GOW
794,GPS,GPS ALLIANCE LTD,ORDINARY FULLY PAID,AU000000GPS0,,,,,,,,,,#GPS,$GPS
795,GNG,GR ENGINEERING LTD,ORDINARY FULLY PAID,AU000000GNG0,,,,,,,,,,#GNG,$GNG
796,GGE,GRAND GULF ENERGY,ORDINARY FULLY PAID,AU000000GGE9,,,,,,,,,,#GGE,$GGE
797,GRR,GRANGE RESOURCES.,ORDINARY FULLY PAID,AU000000GRR8,,,,,,,,,,#GRR,$GRR
798,GTI,GRATIFII,ORDINARY FULLY PAID,AU0000152183,,,,,,,,,,#GTI,$GTI
799,GNM,GREAT NORTHERN,ORDINARY FULLY PAID,AU0000067092,,,,,,,,,,#GNM,$GNM
800,GSN,GREAT SOUTHERN,ORDINARY FULLY PAID,AU0000017543,,,,,,,,,,#GSN,$GSN
801,GTE,GREAT WESTERN EXP.,ORDINARY FULLY PAID,AU000000GTE2,,,,,,,,,,#GTE,$GTE
802,GBR,GREATBOULD RESOURCES,ORDINARY FULLY PAID,AU000000GBR2,,,,,,,,,,#GBR,$GBR
803,GGG,GREENLAND MINERALS,ORDINARY FULLY PAID,AU000000GGG4,,,,,,,,,,#GGG,$GGG
804,GSR,GREENSTONE RESOURCES,ORDINARY FULLY PAID,AU0000184954,,,,,,,,,,#GSR,$GSR
805,GRE,GREENTECHMETALS,ORDINARY FULLY PAID,AU0000189375,,,,,,,,,,#GRE,$GRE
806,GT1,GREENTECHNOLOGY,ORDINARY FULLY PAID,AU0000177271,,,,,,,,,,#GT1,$GT1
807,GRV,GREENVALE MINING LTD,ORDINARY FULLY PAID,AU000000GRV0,,,,,,,,,,#GRV,$GRV
808,GW1,GREENWING RESOURCES,ORDINARY FULLY PAID,AU0000166613,,,,,,,,,,#GW1,$GW1
809,GRX,GREENX METALS LTD,ORDINARY FULLY PAID,AU0000198939,,,,,,,,,,#GRX,$GRX
810,G6M,GROUP 6 METALS LTD,ORDINARY FULLY PAID,AU0000188021,,,,,,,,,,#G6M,$G6M
811,GTR,GTI ENERGY LTD,ORDINARY FULLY PAID,AU000000GTR4,,,,,,,,,,#GTR,$GTR
812,GTN,GTN LIMITED,ORDINARY FULLY PAID,AU000000GTN3,,,,,,,,,,#GTN,$GTN
813,GMC,GULF MANGANESE CORP,ORDINARY FULLY PAID,AU000000GMC1,,,,,,,,,,#GMC,$GMC
814,GUL,GULLEWA LIMITED,ORDINARY FULLY PAID,AU000000GUL5,,,,,,,,,,#GUL,$GUL
815,GWA,GWA GROUP LTD,ORDINARY FULLY PAID,AU000000GWA4,,,,,,,,,,#GWA,$GWA
816,GWR,GWR GROUP LTD,ORDINARY FULLY PAID,AU000000GWR8,,,,,,,,,,#GWR,$GWR
817,HKX,HAEMOKINESISLIMITED,ORDINARY FULLY PAID,AU0000211617,,,,,,,,,,#HKX,$HKX
818,HLF,HALO FOOD CO. LTD,ORDINARY FULLY PAID,AU0000186702,,,,,,,,,,#HLF,$HLF
819,HAL,HALO TECHNOLOGIES,ORDINARY FULLY PAID,AU0000211971,,,,,,,,,,#HAL,$HAL
820,HMG,HAMELINGOLDLIMITED,ORDINARY FULLY PAID,AU0000178071,,,,,,,,,,#HMG,$HMG
821,HMX,HAMMER METALS LTD,ORDINARY FULLY PAID,AU000000HMX5,,,,,,,,,,#HMX,$HMX
822,HHM,HAMPTON HILL MINING,ORDINARY FULLY PAID,AU000000HHM8,,,,,,,,,,#HHM,$HHM
823,HNG,HANCOCK & GORE LTD,ORDINARY FULLY PAID,AU000000HNG8,,,,,,,,,,#HNG,$HNG
824,HNR,HANNANS LTD,ORDINARY FULLY PAID,AU000000HNR5,,,,,,,,,,#HNR,$HNR
825,HSN,HANSEN TECHNOLOGIES,ORDINARY FULLY PAID,AU000000HSN3,,,,,,,,,,#HSN,$HSN
826,HVM,HAPPY VALLEY,ORDINARY FULLY PAID,NZHVME0009S4,,,,,,,,,,#HVM,$HVM
827,HAR,HARANGARESOURCES,ORDINARY FULLY PAID,AU0000187247,,,,,,,,,,#HAR,$HAR
828,HMY,HARMONEY CORP LTD,ORDINARY FULLY PAID,NZHMYE0001S5,,,,,,,,,,#HMY,$HMY
829,HT8,HARRIS TECHNOLOGY GL,ORDINARY FULLY PAID,AU000000HT83,,,,,,,,,,#HT8,$HT8
830,HHR,HARTSHEAD RESOURCES,ORDINARY FULLY PAID,AU0000154148,,,,,,,,,,#HHR,$HHR
831,HTG,HARVEST TECH GRP LTD,ORDINARY FULLY PAID,AU0000082422,,,,,,,,,,#HTG,$HTG
832,HVN,HARVEY NORMAN,ORDINARY FULLY PAID,AU000000HVN7,,,,,,,,,,#HVN,$HVN
833,HAS,HASTINGS TECH MET,ORDINARY FULLY PAID,AU000000HAS0,,,,,,,,,,#HAS,$HAS
834,HAV,HAVILAH RESOURCES,ORDINARY FULLY PAID,AU000000HAV4,,,,,,,,,,#HAV,$HAV
835,HIO,HAWSONS IRON LTD,ORDINARY FULLY PAID,AU0000171290,,,,,,,,,,#HIO,$HIO
836,HAW,HAWTHORN RESOURCES,ORDINARY FULLY PAID,AU000000HAW2,,,,,,,,,,#HAW,$HAW
837,HZR,HAZER GROUP LIMITED,ORDINARY FULLY PAID,AU000000HZR9,,,,,,,,,,#HZR,$HZR
838,HLS,HEALIUS,ORDINARY FULLY PAID,AU0000033359,,,,,,,,,,#HLS,$HLS
839,HHI,HEALTH HOUSE INT LTD,ORDINARY FULLY PAID,AU0000141368,,,,,,,,,,#HHI,$HHI
840,HPP,HEALTH PLANT PROTEIN,ORDINARY FULLY PAID,AU0000129710,,,,,,,,,,#HPP,$HPP
841,HLA,HEALTHIA LIMITED,ORDINARY FULLY PAID,AU0000021693,,,,,,,,,,#HLA,$HLA
842,HM1,HEARTS AND MINDS,ORDINARY FULLY PAID,AU0000026569,,,,,,,,,,#HM1,$HM1
843,HVY,HEAVYMINERALSLIMITED,ORDINARY FULLY PAID,AU0000168668,,,,,,,,,,#HVY,$HVY
844,HE8,HELIOS ENERGY LTD,ORDINARY FULLY PAID,AU000000HE80,,,,,,,,,,#HE8,$HE8
845,HLX,HELIX RESOURCES,ORDINARY FULLY PAID,AU000000HLX7,,,,,,,,,,#HLX,$HLX
846,HLO,HELLOWORLD TRAVL LTD,ORDINARY FULLY PAID,AU000000HLO6,,,,,,,,,,#HLO,$HLO
847,HMD,HERAMED LIMITED,ORDINARY FULLY PAID,AU0000028367,,,,,,,,,,#HMD,$HMD
848,HRR,HERON RESOURCES,ORDINARY FULLY PAID,AU000000HRR6,,,,,,,,,,#HRR,$HRR
849,HXG,HEXAGON ENERGY,ORDINARY FULLY PAID,AU000000HXG7,,,,,,,,,,#HXG,$HXG
850,HXL,HEXIMA,ORDINARY FULLY PAID,AU0000111932,,,,,,,,,,#HXL,$HXL
851,HPR,HIGH PEAK ROYALTIES,ORDINARY FULLY PAID,AU000000HPR0,,,,,,,,,,#HPR,$HPR
852,HFR,HIGHFIELD RES LTD,ORDINARY FULLY PAID,AU000000HFR1,,,,,,,,,,#HFR,$HFR
853,HGO,HILLGROVE RES LTD,ORDINARY FULLY PAID,AU000000HGO6,,,,,,,,,,#HGO,$HGO
854,HIL,HILLS LTD,ORDINARY FULLY PAID,AU000000HIL8,,,,,,,,,,#HIL,$HIL
855,HPG,HIPAGES GROUP,ORDINARY FULLY PAID,AU0000112104,,,,,,,,,,#HPG,$HPG
856,HMI,HIREMII,ORDINARY FULLY PAID,AU0000143471,,,,,,,,,,#HMI,$HMI
857,HIT,HITECH GROUP AUST.,ORDINARY FULLY PAID,AU000000HIT1,,,,,,,,,,#HIT,$HIT
858,HIQ,HITIQ LIMITED,ORDINARY FULLY PAID,AU0000148967,,,,,,,,,,#HIQ,$HIQ
859,HCT,HOLISTA COLLTECH LTD,ORDINARY FULLY PAID,AU000000HCT4,,,,,,,,,,#HCT,$HCT
860,HMC,HOMECO LIMITED,ORDINARY FULLY PAID,AU0000058943,,,,,,,,,,#HMC,$HMC
861,HRZ,HORIZON,ORDINARY FULLY PAID,AU0000053373,,,,,,,,,,#HRZ,$HRZ
862,HRN,HORIZON GOLD LTD,ORDINARY FULLY PAID,AU000000HRN5,,,,,,,,,,#HRN,$HRN
